Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL490360;;0;420.47;0;4.48;7;COc1ccc(C(=O)c2ccc(CN(C)Cc3cccc([N+](=O)[O-])c3)cc2)cc1OC;IC50;'=';4270.0;nM;5.37;;;UO_0000065;12.77;0.24;0.89;6.56;False;CHEMBL1019313;Inhibition of human recombinant AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1138541;1;Scientific Literature;Eur. J. Med. Chem.;2009;None
CHEMBL293268;;0;336.27;0;3.47;29;COc1cccc(C[N+](C)(C)Cc2ccccc2)c1.[Br-];IC50;'>';10000.0;nM;;;;UO_0000065;;;;;False;CHEMBL645004;In vitro inhibitory activity against human recombinant AChE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135872;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2002;None
CHEMBL2332547;;0;429.52;1;6.06;5k;C=CC(=O)N1C/C(=C\c2cccc3ccccc23)C(=O)/C(=C/c2cccc3ccccc23)C1;IC50;'=';13840.0;nM;4.86;;;UO_0000065;11.31;0.20;-1.20;13.00;False;CHEMBL2345676;Inhibition of AChE (unknown origin) using acetylthiocholine iodide substrate by Ellman's method based spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2331378;1;Scientific Literature;Bioorg. Med. Chem.;2013;None
CHEMBL2332974;;0;612.56;2;6.59;8d;O=C1/C(=C/c2ccccc2Cl)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1Cl;IC50;'=';11920.0;nM;4.92;;;UO_0000065;8.04;0.16;-1.67;7.06;False;CHEMBL2345676;Inhibition of AChE (unknown origin) using acetylthiocholine iodide substrate by Ellman's method based spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2331378;1;Scientific Literature;Bioorg. Med. Chem.;2013;None
CHEMBL1084212;;0;336.46;0;3.80;9c;c1ccc2c(CNc3ccnc(N4CCSCC4)n3)cccc2c1;IC50;'=';12800.0;nM;4.89;;;UO_0000065;14.54;0.28;1.09;11.92;False;CHEMBL1769750;Inhibition of human AChE incubated with compounf for 5 mins before addition of substrate acetylthiocholine iodide by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1764969;1;Scientific Literature;Bioorg. Med. Chem.;2011;None
CHEMBL1082980;;0;297.41;0;1.88;8d;CN1CCN(c2nccc(NCCc3ccccc3)n2)CC1;IC50;'=';20400.0;nM;4.69;;;UO_0000065;15.77;0.29;2.81;10.59;False;CHEMBL1769750;Inhibition of human AChE incubated with compounf for 5 mins before addition of substrate acetylthiocholine iodide by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1764969;1;Scientific Literature;Bioorg. Med. Chem.;2011;None
CHEMBL1766149;;0;269.35;0;1.50;7u;c1ccc(CNc2ccnc(N3CCNCC3)n2)cc1;IC50;'=';15500.0;nM;4.81;;;UO_0000065;17.86;0.33;3.31;9.06;False;CHEMBL1769750;Inhibition of human AChE incubated with compounf for 5 mins before addition of substrate acetylthiocholine iodide by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1764969;1;Scientific Literature;Bioorg. Med. Chem.;2011;None
CHEMBL1766146;;0;373.50;0;4.17;7r;c1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1;IC50;'=';12400.0;nM;4.91;;;UO_0000065;13.14;0.24;0.74;9.24;False;CHEMBL1769750;Inhibition of human AChE incubated with compounf for 5 mins before addition of substrate acetylthiocholine iodide by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1764969;1;Scientific Literature;Bioorg. Med. Chem.;2011;None
CHEMBL1085780;;0;254.34;0;2.69;7a;c1ccc(CNc2ccnc(N3CCCC3)n2)cc1;IC50;'=';8700.0;nM;5.06;;;UO_0000065;19.90;0.36;2.37;12.33;False;CHEMBL1769750;Inhibition of human AChE incubated with compounf for 5 mins before addition of substrate acetylthiocholine iodide by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1764969;1;Scientific Literature;Bioorg. Med. Chem.;2011;None
CHEMBL3217208;;0;688.61;2;9.79;(+)-7b;CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@@H](C1)C2.Cl.Cl.Cl;IC50;'=';6.84;nM;8.16;;;UO_0000065;14.10;0.27;-1.63;16.38;False;CHEMBL2015198;Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated for 20 mins prior substrate addition measured after 5 mins by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2010698;1;Scientific Literature;J. Med. Chem.;2012;None
CHEMBL71851;SCOPOLETIN;0;192.17;0;1.51;2;COc1cc2ccc(=O)oc2cc1O;IC50;'=';168600.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL3117940;Inhibition of AChE (unknown origin) using 2-nitrobenzoate-5-mercaptothiocholine as substrate after 15 to 60 mins by microplate assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3112396;1;Scientific Literature;Bioorg. Med. Chem.;2014;None
CHEMBL659;GALANTAMINE;4;287.36;0;1.85;galanthamine;COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2;IC50;'=';800.0;nM;6.10;;;UO_0000065;21.22;0.40;4.25;14.54;False;CHEMBL1787066;Inhibition of human erythrocytes AChE;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1781988;1;Scientific Literature;Eur. J. Med. Chem.;2011;None
CHEMBL636;RIVASTIGMINE;4;250.34;0;2.76;Rivastigmine;CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1;IC50;'=';37.0;nM;7.43;;;UO_0000065;29.69;0.56;4.67;22.67;False;CHEMBL1787068;Inhibition of human erythrocytes BChE;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1781988;1;Scientific Literature;Eur. J. Med. Chem.;2011;None
CHEMBL1782730;;0;362.93;0;4.55;28, ASTRA1397;CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21.Cl;IC50;'=';3370.0;nM;5.47;;;UO_0000065;16.76;0.32;0.92;23.24;False;CHEMBL1787068;Inhibition of human erythrocytes BChE;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1781988;1;Scientific Literature;Eur. J. Med. Chem.;2011;None
CHEMBL1784956;;0;362.90;0;4.03;4b;C[C@@H](c1cccc(OC(=O)N[C@H](C)Cc2ccccc2)c1)N(C)C.Cl;IC50;'=';404.0;nM;6.39;;;UO_0000065;19.59;0.36;2.36;15.38;False;CHEMBL1785189;Inhibition of human recombinant AChE preincubated for 30 mins before DTNB substrate addition by spectrophotometric assay based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1781878;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None
CHEMBL3115025;;0;461.42;None;None;5i;COc1cc2[se]n(-c3ccc(OCCN4CCCCC4)cc3)c(=O)c2cc1OC;IC50;'=';450.0;nM;6.35;;;UO_0000065;13.75;None;None;None;False;CHEMBL3116513;Inhibition of human erythrocyte acetylcholinesterase using acetylthiocholine chloride as substrate preincubated for 15 mins followed by substrate addition by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3112576;1;Scientific Literature;Bioorg. Med. Chem.;2014;None
CHEMBL496259;;0;426.65;0;4.80;7;CN[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(=O)[C@@H](NC(=O)C=C(C)C)CC[C@]4(C)[C@H]3CC[C@]12C;IC50;'=';9900.0;nM;5.00;;;UO_0000065;11.73;0.22;0.20;8.60;False;CHEMBL998779;Inhibition of acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1156637;1;Scientific Literature;J. Nat. Prod.;2008;None
CHEMBL95;TACRINE;4;198.27;0;2.70;3;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';500.0;nM;6.30;;;UO_0000065;31.78;0.57;3.60;16.19;False;CHEMBL3387411;Inhibition of human recombinant AChE after 5 mins by Ellman method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3351527;1;Scientific Literature;J. Med. Chem.;2014;None
CHEMBL2181433;;0;489.62;1;5.36;1d;COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCCc1ccc(O)c(/C=N/O)n1)CC2;IC50;'>';400000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL2188633;Inhibition of human AChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2176915;1;Scientific Literature;J. Med. Chem.;2012;None
CHEMBL461949;;0;246.26;0;1.98;10;C=C(C)[C@H](O)Cc1cc2ccc(=O)oc2cc1O;IC50;'=';130000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL1003053;Inhibition of AChE by spectrophotometry;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150852;1;Scientific Literature;J. Nat. Prod.;2001;None
CHEMBL3415570;;0;368.45;0;4.16;13d;O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccc(F)cc1;IC50;'=';437.0;nM;6.36;;;UO_0000065;17.26;0.32;2.20;12.87;False;CHEMBL3419741;Inhibition of human recombinant AChE after 5 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3414441;1;Scientific Literature;Eur. J. Med. Chem.;2015;None
CHEMBL1761998;;0;472.22;0;3.82;17;C(=C/C[n+]1cccc2ccccc21)\C[n+]1cccc2ccccc21.[Br-].[Br-];IC50;'=';6000.0;nM;5.22;;;UO_0000065;16.71;0.30;1.40;67.29;False;CHEMBL1763498;Inhibition of human erythrocyte recombinant AChE by modified Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1759923;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None
CHEMBL1762001;;0;522.28;0;4.66;20;[Br-].[Br-].c1cc(C[n+]2cccc3ccccc32)cc(C[n+]2cccc3ccccc32)c1;IC50;'=';40000.0;nM;4.40;;;UO_0000065;12.13;0.21;-0.26;56.67;False;CHEMBL1763498;Inhibition of human erythrocyte recombinant AChE by modified Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1759923;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None
CHEMBL3310699;;0;345.40;0;2.68;1d;COC(=O)C(CC1=NO[C@@H]2CCC[C@@H]2[C@H]1c1ccccc1)C(=O)OC;IC50;'=';75350.0;nM;4.12;;;UO_0000065;11.94;0.23;1.44;5.56;False;CHEMBL3367639;Inhibition of AChE (unknown origin) using ACh chloride as substrate preincubated for 15 mins before substrate addition by Ellman method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3352647;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2014;None
CHEMBL178294;;0;325.36;0;4.00;10 (table 1);Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)COC(C1)O2;IC50;'=';56.0;nM;7.25;;;UO_0000065;22.29;0.41;3.25;12.77;False;CHEMBL874440;Inhibitory concentration against human erythrocyte Acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1142685;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL74926;PHENSERINE;0;337.42;0;3.67;Phenserine;CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12;IC50;'=';22.0;nM;7.66;;;UO_0000065;22.69;0.42;3.99;17.09;True;CHEMBL874440;Inhibitory concentration against human erythrocyte Acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1142685;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL424833;;0;457.71;1;6.14;3;O=C(CCCCC1CCSS1)NCCCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';35.2;nM;7.45;;;UO_0000065;16.28;0.33;1.31;13.80;False;CHEMBL832842;Inhibitory concentration against human recombinant acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141170;1;Scientific Literature;J. Med. Chem.;2005;None
CHEMBL203266;TRIMETAZIDINE;4;266.34;0;1.12;TRIMETAZIDINE;COc1ccc(CN2CCNCC2)c(OC)c1OC;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL311849;;0;373.24;0;-0.62;HI-6;C[n+]1c(/C=N/O)cccc1CCO[n+]1ccc(C(N)=O)cc1.[Cl-].[Cl-];IC50;'>';1000000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL644111;Reactivation of human acetylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123262;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL3323056;;0;315.42;0;2.45;45;CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)CCC3;IC50;'=';1200.0;nM;5.92;;;UO_0000065;18.77;0.35;3.47;12.50;False;CHEMBL3369130;Inhibition of human AChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3352376;1;Scientific Literature;Bioorg. Med. Chem.;2014;None
CHEMBL43882;TRICHLOROETHANE;0;133.41;0;2.03;TRICHLOROETHANE;ClCC(Cl)Cl;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL417915;;0;379.50;0;4.79;2;CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3C)cc1;IC50;'=';758.0;nM;6.12;;;UO_0000065;16.13;0.30;1.33;13.66;False;CHEMBL644927;Ability to inhibit acetylcholinesterase (AChE), freshly prepared from human erythrocytes;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1132219;1;Scientific Literature;J. Med. Chem.;1999;None
CHEMBL1201195;CEFMETAZOLE;4;471.55;1;-0.73;CEFMETAZOLE;CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1055;CHLORTHALIDONE;4;338.77;0;0.92;CHLORTHALIDONE;NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL102263;;0;255.81;0;2.36;11;CC(C)(C)SC(=O)OCC[N+](C)(C)C.[Cl-];IC50;;;;;;No inhibition;;;;;;False;CHEMBL642667;"In vitro inhibition of Acetylcholinesterase activity from octopus brain was evaluated using 1 mM of ATC as substrate; NI=Not inhibitory";B;BAO_0000019;assay format;Octopus;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1130148;1;Scientific Literature;J. Med. Chem.;1997;None
CHEMBL1566249;AMPIROXICAM;0;447.47;0;2.56;AMPIROXICAM;CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL510363;;0;299.37;0;2.84;10;COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)NCC2;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;False;CHEMBL3271120;Inhibition of AChE in human erythrocytes using acetylthiocholine iodide as substrate preincubated with enzyme for 20 mins followed by substrate addition by Ellman's method;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3259766;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2014;None
CHEMBL1257885;;0;348.92;1;5.11;5;CCCCCCNc1c2c(nc3ccc(OC)cc13)CCCC2.Cl;IC50;'=';100.0;nM;7.00;;;UO_0000065;22.40;0.42;1.89;20.50;False;CHEMBL1260200;Inhibition of human recombinant AChE after 5 mins;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1255181;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2010;None
CHEMBL3237630;;0;391.51;0;2.27;3;CC[C@@H]1[C@@H]2CCCCN3[C@H]([C@@H]4C[C@@H](C)C(=O)O4)CC[C@]23[C@H]2[C@@H]1OC(=O)[C@]2(C)O;IC50;'=';9100.0;nM;5.04;;;UO_0000065;12.88;0.25;2.77;6.63;False;CHEMBL3242491;Inhibition of human AChE by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3232805;1;Scientific Literature;J. Nat. Prod.;2014;None
CHEMBL1087180;GANODERIC ACID B;0;516.68;1;4.13;4;CC(CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O;IC50;'=';22630.0;nM;4.64;;;UO_0000065;8.99;0.17;0.52;3.60;False;CHEMBL1918466;Inhibition of AChE assessed as hydrolysis of acetylcholine preincubated for 15 mins measured after 15 mins by colorimetric Ellman assay;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1914414;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None
CHEMBL1915764;LUCIDADIOL;0;456.71;1;6.63;13;C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)CO;IC50;'=';31030.0;nM;4.51;;;UO_0000065;9.87;0.19;-2.12;7.84;False;CHEMBL1918466;Inhibition of AChE assessed as hydrolysis of acetylcholine preincubated for 15 mins measured after 15 mins by colorimetric Ellman assay;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1914414;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None
CHEMBL94059;;0;322.41;0;4.12;9;c1ccc(CN2CCC(COc3noc4ccccc34)CC2)cc1;IC50;'=';2600.0;nM;5.58;;;UO_0000065;17.32;0.32;1.47;14.51;True;CHEMBL644105;Evaluated for the in vitro inhibition of the Acetylcholinesterase (AChE) from human erythrocytes;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1127437;1;Scientific Literature;J. Med. Chem.;1994;None
CHEMBL3233829;;0;714.69;2;8.25;(+/-)-7d;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2.Cl;IC50;'=';4.36;nM;8.36;;;UO_0000065;12.33;0.23;0.11;6.50;False;CHEMBL3238626;Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate preincubated for 20 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3232829;1;Scientific Literature;J. Med. Chem.;2014;None
CHEMBL61715;;0;243.27;0;2.60;6;Nc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2;IC50;'=';28.0;nM;7.55;;;UO_0000065;31.05;0.57;4.95;9.21;True;CHEMBL644101;Inhibitory activity against human erythrocyte acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133184;1;Scientific Literature;J. Med. Chem.;2000;None
CHEMBL274107;;0;262.31;0;1.79;(+)-4;CNC(=O)Oc1cccc2c1OC[C@@H]1CCN(C)[C@H]21;IC50;'=';74.13;nM;7.13;;;UO_0000065;27.18;0.51;5.34;14.04;False;CHEMBL638446;Inhibitory activity against acetylcholinesterase in human erythrocytes;B;BAO_0000219;cell-based format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134461;1;Scientific Literature;J. Med. Chem.;2001;None
CHEMBL1167;SPECTINOMYCIN;4;332.35;0;-2.93;SPECTINOMYCIN;CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1677;TACRINE HYDROCHLORIDE;4;234.73;0;2.70;1, tacrine.HCl;Cl.Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';205.0;nM;6.69;;;UO_0000065;33.73;0.61;3.99;17.19;False;CHEMBL960589;Inhibition of human erythrocyte AChE by Ellman's assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150773;1;Scientific Literature;J. Med. Chem.;2008;None
CHEMBL1103;FURAZOLIDONE;4;225.16;0;0.97;FURAZOLIDONE;O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL3216208;;0;572.62;1;6.06;16a;COc1cc2c(cc1OC)CC(CC1CCN(CCNc3c4c(nc5ccccc35)CCCC4)CC1)C2.Cl.Cl;IC50;'=';5.13;nM;8.29;;;UO_0000065;16.59;0.31;2.23;17.78;False;CHEMBL960589;Inhibition of human erythrocyte AChE by Ellman's assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150773;1;Scientific Literature;J. Med. Chem.;2008;None
